State,Q1.Malaysian_Citizen,Q2.Gender,Q3.Living_Area,Q4.Grow_Up_Area,Exact_Age,Q6.Ethnic_Group,Q7.No_of_Meals_Per_Day,Q8.No_of_Meals_Between_Intakes,Q9.Norms_for_Breakfast,Q9.Norms_for_Lunch,Q9.Norms_for_Dinner,Q9.Norms_for_Supper,Q9.Norms_for_Snack,Q9.Norms_for_TeaTime,Q10.Beverage_for_Breakfast,Q10.Beverage_for_Lunch,Q10.Beverage_for_Dinner,Q10.Beverage_for_Supper,Q10.Beverage_for_Snack,Q10.Beverage_for_TeaTime,Q11.NO._of_Times_Eat_at_Home_Last_Week,Q11.Recode_NO._of_Times_Eat_at_Home_Last_Week,Q11.Eat_Out_Ratio,Q13.Who_Cooks,Q14.Food_Must_Be,Q15a.Halal,Q15b.Halal,Q15c.Halal,Q15d.Halal,Q15e.Halal,Q15f.Halal,Q16.a,Q16.b,Q16.c,Q16.d,Q16.e,Q16.f,Q16.g,Q16.h,Q17.1,Q17.1rec1,Q17.1rec2,Q17.2,Q17.2rec1,Q19.a,Q19.b,Q22.a,Q22.b,Q22.c,Q29a.Religion,Q30.Religion
12,1,1,1,1,59,2,3,2,111,111,111,181,181,151,2,11,2,14,14,4,14,7,0.3333333333333333,2,4,1,1,2,3,2,2,3,1,1,1,1,4,3,4,101,206,21,188,Biscuit,6,1,1,4,7,1,1
12,1,2,1,1,42,2,3,1,111,111,111,181,181,181,2,3,3,14,14,14,21,0,0.0,1,1,1,1,2,3,2,3,4,1,1,2,1,4,3,3,101,206,21,105,Satay,1,4,1,3,8,1,1
12,1,1,1,1,18,2,3,2,111,111,111,181,181,135,3,1,1,14,14,11,21,0,0.0,6,1,1,1,2,3,2,3,3,1,1,1,1,4,3,3,101,206,21,111,Fried Mee Hoon,1,6,1,3,8,1,2
12,1,2,3,3,37,2,2,2,111,111,188,181,115,181,2,9,6,14,9,14,7,14,0.6666666666666666,6,4,1,1,1,1,2,1,3,2,2,2,2,4,3,3,105,202,20,101,Chicken,1,2,6,1,4,1,2
12,1,1,1,1,26,2,3,1,111,111,111,181,181,181,3,11,1,14,14,14,14,7,0.3333333333333333,6,4,1,1,1,1,2,1,3,1,3,3,3,4,3,3,105,205,20,105,Rendang ayam,1,6,1,6,3,1,1
12,1,1,3,3,59,2,3,1,111,111,111,181,181,181,2,1,3,14,14,14,14,7,0.3333333333333333,2,4,1,1,1,1,2,1,3,2,2,3,3,4,4,3,105,205,20,101,Wan tan mee,1,2,1,5,7,1,1
12,1,1,3,3,58,2,3,2,111,111,111,181,181,151,2,1,3,14,14,2,14,7,0.3333333333333333,2,4,1,1,1,1,2,1,3,1,2,3,3,4,3,3,105,20,12,121,Fried rice,1,4,1,5,3,1,1
12,1,2,3,3,54,2,2,2,111,181,111,181,181,135,2,14,1,14,14,3,14,0,0.0,1,1,1,1,1,3,3,1,4,1,1,1,1,4,3,3,105,184,4,101,Laksa,1,4,8,6,1,1,1
13,1,1,2,2,19,1,4,2,111,101,181,188,188,181,2,1,1,1,2,2,24,4,0.14285714285714285,6,1,2,2,3,3,3,3,2,2,2,2,2,4,1,1,101,206,21,121,nasi lemak,1,4,3,1,5,1,2
13,1,2,1,2,29,1,2,1,111,111,111,115,121,121,3,1,1,3,2,2,9,12,0.5714285714285714,6,1,3,3,3,3,3,3,3,4,2,3,3,4,3,3,140,20,12,105,Chicken,4,1,7,1,2,4,2
14,1,1,3,3,60,1,2,1,111,111,181,181,181,181,2,1,14,14,14,14,14,0,0.0,2,1,2,3,2,2,3,2,2,1,2,2,2,4,2,2,160,18,9,160,Soup,2,4,5,3,6,4,2
14,1,2,1,1,60,4,3,1,111,111,111,181,181,181,2,1,1,14,14,14,20,1,0.04761904761904762,1,3,3,3,3,3,3,3,2,2,3,2,2,4,3,3,121,106,15,121,Nasi Lemak,2,4,1,3,5,3,2
14,1,1,1,3,50,1,3,1,111,111,111,181,181,181,2,1,1,14,14,14,0,21,1.0,1,1,2,2,3,3,1,1,4,4,4,2,2,2,2,2,160,31,9,188,Chapati,1,4,1,4,6,4,2
14,1,2,1,3,17,1,3,2,111,111,111,181,181,181,13,1,1,14,14,14,20,1,0.04761904761904762,6,1,2,2,1,2,1,1,2,2,3,3,2,4,2,2,101,206,21,121,Teh tarik,1,4,1,3,5,4,2
2,1,1,2,2,24,2,2,1,105,111,111,188,151,151,3,4,13,14,14,14,10,4,0.2857142857142857,6,1,1,1,1,1,1,1,3,3,3,3,4,4,2,2,121,82,14,121,Layer Cake,1,2,2,4,5,1,2
2,1,1,2,2,30,2,2,1,105,111,111,141,151,151,3,3,4,1,1,1,12,4,0.25,8,1,1,1,1,2,2,1,3,3,3,3,3,3,2,2,188,100,7,188,Nasi Lemak,1,2,1,3,4,1,1
2,1,1,1,1,23,2,3,2,105,111,111,141,151,151,3,2,1,1,1,2,13,7,0.35,6,1,1,1,1,2,2,1,3,1,2,2,2,4,2,3,160,18,9,140,Curry,1,2,2,1,3,1,1
2,1,1,2,2,24,2,2,1,105,111,111,141,141,188,4,9,11,13,13,14,4,8,0.6666666666666666,8,1,1,1,1,1,2,1,3,3,3,4,3,3,2,2,101,206,21,168,Chicken rice,1,2,2,3,4,1,1
2,1,2,3,3,39,2,2,2,141,111,111,141,151,151,2,3,2,1,1,14,13,3,0.1875,1,1,1,1,1,2,2,1,3,3,3,3,2,3,3,2,188,100,7,168,Sweet sour fish,1,2,1,3,4,1,2
2,1,2,1,1,16,4,2,2,141,101,111,151,151,151,6,9,1,1,1,1,9,4,0.3076923076923077,6,3,3,3,3,3,3,3,1,4,3,3,2,4,3,2,101,206,21,121,Chicken,2,3,4,1,5,3,1
2,1,1,1,1,50,4,3,1,105,111,101,151,151,151,7,1,2,1,2,2,15,6,0.2857142857142857,2,1,2,3,1,1,1,1,3,1,2,3,2,4,1,1,188,8,6,170,Curry,1,4,1,6,5,3,1
2,1,2,2,2,19,2,2,1,121,101,101,188,151,151,3,4,9,13,14,14,5,9,0.6428571428571429,8,1,1,1,1,1,2,1,3,3,4,4,3,2,2,2,188,111,9,188,Fried mee,1,2,1,3,4,1,1
2,1,1,1,1,16,2,5,2,105,111,111,121,188,131,3,1,1,1,1,3,23,7,0.23333333333333334,6,1,1,1,1,1,1,1,2,4,3,2,4,4,1,2,105,3,1,121,Tawfu,1,6,3,5,6,1,1
2,1,1,1,3,27,2,3,2,101,111,111,181,115,135,3,3,1,14,13,3,14,14,0.5,6,1,1,1,1,1,2,1,3,4,2,4,2,4,3,2,101,206,21,111,Belacan,1,5,1,4,5,1,3
2,1,2,1,3,18,2,4,2,101,111,111,188,115,135,3,1,6,1,1,6,14,14,0.5,6,1,1,1,1,1,2,1,2,4,2,4,1,4,4,3,101,206,21,140,Mee,1,4,4,3,5,1,2
2,1,2,2,2,26,2,2,2,101,111,188,121,121,151,3,11,11,4,4,4,18,12,0.4,1,1,1,1,1,2,1,1,3,3,3,3,3,2,2,2,168,27,2,131,Chicken rice,1,4,1,5,4,1,3
2,1,2,2,2,21,2,2,2,141,111,111,188,141,188,3,1,3,13,14,14,3,13,0.8125,6,2,1,1,1,2,2,1,3,3,3,4,3,2,3,3,105,111,9,101,Rendang,1,2,1,3,2,1,1
3,1,2,1,1,31,2,2,2,141,101,111,151,151,151,4,3,3,13,13,13,13,7,0.35,1,1,1,1,1,2,2,1,2,3,3,3,3,3,2,2,188,31,9,188,Nasi Balca,1,2,1,3,4,1,1
3,1,2,1,1,30,2,2,1,141,111,111,151,151,151,2,2,2,3,1,1,7,14,0.6666666666666666,8,1,1,1,1,2,2,1,3,3,3,3,2,3,3,3,188,102,9,188,Traditional food,1,2,1,2,3,1,1
3,1,1,1,1,18,4,4,2,121,101,101,151,121,151,1,2,1,1,2,1,11,10,0.47619047619047616,6,2,2,2,3,2,3,3,2,3,3,3,1,3,2,2,121,106,15,121,Nasi Minyak,1,5,4,2,7,3,3
3,1,1,1,1,21,4,3,2,141,101,101,151,121,151,2,1,1,1,1,1,10,12,0.5454545454545454,6,4,2,3,3,2,3,1,2,3,3,2,2,3,2,3,140,116,17,105,Rice,1,4,6,2,5,3,3
3,1,1,1,1,25,4,4,2,131,101,101,151,121,151,1,2,1,1,1,1,13,6,0.3157894736842105,6,4,2,3,2,3,3,3,1,3,2,3,3,2,1,1,101,206,21,111,Nasi Lemak,5,4,4,1,6,3,3
4,1,2,3,3,47,4,3,1,101,188,111,181,181,181,9,1,3,14,14,14,14,7,0.3333333333333333,1,3,2,2,2,2,2,2,1,2,3,2,2,4,3,3,121,82,14,105,Nasi kandar,1,6,1,4,8,5,3
4,1,2,1,1,15,4,3,2,121,111,101,181,115,151,6,1,1,14,13,6,20,2,0.09090909090909091,9,3,2,2,2,2,2,2,3,2,2,2,1,4,1,1,105,3,1,188,Roti canai,4,2,2,1,5,3,3
4,1,2,1,1,17,2,2,2,141,111,181,181,115,181,6,1,14,14,1,14,21,0,0.0,6,1,1,1,1,1,1,1,2,3,3,2,2,4,2,2,105,201,19,101,Fried rice,1,2,8,5,1,1,1
4,1,2,3,3,57,2,1,1,105,111,111,151,121,188,2,1,1,2,3,3,7,1,0.125,1,1,1,1,1,1,2,1,4,1,1,2,2,4,2,2,105,200,18,105,Nasi Minyak,1,3,2,6,5,1,2
4,1,1,3,3,15,2,1,1,105,111,111,121,151,151,4,2,9,13,6,3,7,5,0.4166666666666667,6,1,1,1,1,1,2,1,3,4,1,2,2,4,1,1,101,206,21,121,Nasi Minyak,1,6,2,1,8,1,3
4,1,1,3,3,25,2,1,2,105,111,111,151,151,135,3,1,9,13,13,2,14,0,0.0,6,1,1,1,1,1,1,1,4,1,1,2,2,4,2,2,131,110,9,168,Ketupat,1,5,6,2,1,1,2
4,1,1,3,3,16,2,2,1,121,111,111,115,115,188,3,4,1,2,4,4,14,0,0.0,6,1,1,1,1,1,1,1,4,1,2,2,2,4,1,1,105,20,12,111,Ice kacang,1,3,4,2,6,1,2
4,1,1,3,3,17,2,3,2,131,111,111,121,121,131,3,1,4,2,3,4,14,2,0.125,6,1,1,1,1,1,1,1,4,1,1,2,2,4,1,2,121,82,14,105,laksa,1,3,3,6,7,1,3
4,1,2,1,2,18,2,3,1,101,101,101,181,181,181,4,1,1,14,14,14,7,14,0.6666666666666666,6,3,1,1,1,1,1,1,2,1,1,2,3,3,2,2,160,31,9,170,Roti canai,2,1,1,3,4,1,2
4,1,2,1,2,43,2,3,1,101,101,101,181,181,181,2,1,1,14,14,14,14,7,0.3333333333333333,1,3,1,1,1,1,1,1,1,1,1,2,3,3,2,2,140,112,16,170,nasi kandar,2,1,4,3,1,1,2
4,1,1,1,2,29,2,3,1,121,101,101,181,181,181,2,1,1,14,14,14,14,7,0.3333333333333333,2,3,1,1,1,1,1,1,2,1,1,2,3,3,2,2,170,119,5,131,nasi kandar,1,2,5,4,1,1,2
5,1,2,1,1,23,3,2,2,131,111,188,181,115,181,1,1,1,1,2,4,21,0,0.0,6,4,3,3,3,3,3,3,3,2,2,2,2,4,3,2,101,206,21,111,Nasi rendang,6,1,6,7,5,2,3
5,1,1,1,1,35,3,3,2,131,111,188,181,181,135,13,1,3,14,14,3,14,7,0.3333333333333333,2,3,3,2,2,2,2,2,4,4,3,3,4,3,1,2,105,184,4,111,Onion,1,2,1,8,7,2,1
5,1,1,1,1,20,3,2,2,131,111,101,181,115,115,2,1,1,14,1,1,12,7,0.3684210526315789,6,2,2,2,3,3,2,1,2,4,2,2,4,4,2,2,101,206,21,111,Sambal ikan bilis,4,6,2,8,3,4,3
5,1,1,1,1,55,2,2,2,131,101,111,188,115,151,2,1,2,1,13,13,14,5,0.2631578947368421,2,4,1,1,1,1,2,1,2,2,3,2,2,4,2,2,168,4,2,188,Ketupat,1,4,1,4,5,1,1
5,1,1,1,3,36,2,3,3,105,101,188,151,141,115,3,9,1,2,1,3,21,0,0.0,2,1,1,1,1,1,2,1,2,3,2,2,2,4,3,2,101,206,21,168,Soup kambing,2,3,3,6,5,1,2
5,1,2,1,1,53,2,3,3,141,101,111,188,121,131,6,13,2,13,3,4,22,12,0.35294117647058826,1,1,1,1,1,3,2,1,1,1,2,3,3,4,2,2,188,105,10,121,Claypot rice,1,6,1,4,6,1,2
5,1,1,1,1,25,2,4,3,105,101,111,121,141,131,7,2,9,14,14,2,10,6,0.375,1,1,1,1,3,2,1,1,2,3,2,3,4,4,1,2,111,114,8,188,Nasi minyak,1,2,1,5,7,1,2
6,1,2,1,3,59,2,3,2,101,111,111,151,115,181,13,1,1,1,1,1,21,0,0.0,1,4,1,1,1,1,2,1,3,1,3,3,3,4,1,2,101,206,21,121,Chee cheong fun,6,1,6,3,2,1,1
5,1,2,1,2,40,2,2,2,131,101,111,181,181,181,3,11,1,14,14,14,8,5,0.38461538461538464,1,1,3,3,1,2,3,1,4,4,2,3,3,4,3,3,105,3,1,160,Pizza Hut,1,6,7,3,5,1,5
5,1,1,1,3,23,4,4,2,121,111,101,188,188,121,3,3,1,1,1,1,18,8,0.3076923076923077,1,2,2,2,1,2,3,1,3,3,2,2,2,2,1,1,170,7,5,111,Nasi dagang,2,4,1,4,7,7,4
5,1,2,2,3,29,4,4,2,141,111,188,115,181,135,13,1,1,3,1,1,19,9,0.32142857142857145,6,3,3,2,2,1,3,3,4,4,4,2,3,4,1,1,101,206,21,105,Fried mee,6,1,4,3,9,3,2
5,1,2,1,1,40,4,2,1,101,101,188,115,188,151,1,3,6,14,2,13,10,4,0.2857142857142857,1,1,2,2,2,3,2,2,2,2,3,3,3,2,2,2,111,114,8,140,meat,1,2,4,3,2,3,3
5,1,1,1,1,55,4,3,1,131,111,101,115,181,181,2,1,13,14,14,2,10,11,0.5238095238095238,2,2,1,2,1,2,3,3,3,3,2,2,2,4,3,1,170,7,5,105,Masak kari,2,3,2,4,5,3,2
5,1,2,3,1,21,4,3,2,131,101,101,181,181,181,2,1,1,14,14,14,7,14,0.6666666666666666,6,3,2,3,1,3,1,2,2,2,4,4,3,4,2,2,101,206,21,111,Mi Kari,1,2,8,1,3,3,2
5,1,1,1,1,27,4,3,2,131,101,111,181,181,181,2,13,9,14,14,14,14,0,0.0,6,1,3,3,1,2,3,1,1,2,3,3,3,4,2,2,111,114,8,105,Nasi Lemak,1,4,1,2,3,3,2
5,1,2,1,1,26,2,3,2,101,101,101,181,188,181,5,1,1,14,13,14,16,5,0.23809523809523808,6,1,1,1,1,2,2,1,4,2,4,4,4,4,2,3,140,116,17,101,satay,1,4,1,2,9,1,1
5,1,2,1,3,54,2,4,2,101,101,101,181,188,181,4,1,1,1,4,1,15,4,0.21052631578947367,1,1,1,1,1,2,1,1,4,4,4,4,4,4,2,3,105,184,4,105,Laksa,1,2,1,2,9,1,1
5,1,2,1,2,60,3,3,2,131,188,188,121,115,115,3,1,1,14,2,4,18,3,0.14285714285714285,1,1,2,2,3,3,3,3,2,2,3,2,2,4,2,2,101,206,21,121,Nasi Lemak,1,6,7,5,3,4,2
5,1,1,1,1,20,2,3,2,131,101,188,181,181,151,2,9,3,14,14,2,0,21,1.0,6,1,1,1,1,1,1,1,3,3,3,4,4,3,3,3,105,184,4,101,Curry Chicken,1,5,3,1,5,1,1
5,1,1,1,1,23,2,2,2,105,111,188,188,151,151,3,1,1,3,1,4,14,0,0.0,2,1,1,1,1,2,3,3,3,2,4,3,2,3,3,3,105,200,18,188,Chicken porridge,1,6,5,3,6,1,5
6,1,2,1,3,17,3,3,3,131,111,188,181,181,135,1,1,1,6,1,14,3,17,0.85,6,2,1,3,2,2,3,2,2,1,4,3,2,3,3,3,101,206,21,160,Curry Chicken,1,4,6,8,5,4,2
6,1,2,2,2,26,3,2,1,131,111,181,181,181,181,13,1,1,14,14,14,10,2,0.16666666666666666,6,4,1,1,1,1,2,1,3,4,2,2,1,4,2,1,101,206,21,111,Curry,1,4,5,7,8,2,1
6,1,2,2,2,23,2,2,2,101,101,111,188,115,135,3,1,1,6,9,2,3,11,0.7857142857142857,6,1,1,1,1,1,2,1,2,3,2,4,2,4,2,2,101,206,21,111,Chicken rice,1,6,5,1,3,1,2
6,1,1,1,2,30,2,3,2,101,111,111,115,121,135,2,2,2,1,1,2,11,16,0.5925925925925926,2,1,1,1,1,1,2,1,3,3,2,3,4,4,2,2,105,200,18,105,Curry Chicken,1,4,5,1,7,1,2
6,1,2,1,1,24,2,3,2,101,111,101,121,115,135,3,1,1,9,13,6,10,10,0.5,6,1,1,1,1,1,2,1,2,4,2,2,2,4,2,2,101,206,21,105,Mixed rice,2,1,1,4,6,1,2
6,1,2,1,1,17,4,3,1,131,101,101,181,181,181,1,1,1,14,14,14,18,3,0.14285714285714285,6,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,111,114,8,101,Nasi lemak,1,2,6,9,7,4,3
6,1,2,1,3,32,2,2,2,131,101,111,141,115,135,9,13,1,13,3,3,2,16,0.8888888888888888,8,1,1,1,1,1,2,1,2,4,4,4,2,2,1,3,140,116,17,140,Mixed rice,1,5,8,1,4,1,2
6,1,1,1,3,55,2,3,1,105,101,101,115,188,151,4,1,1,2,2,4,3,20,0.8695652173913043,1,1,1,1,1,1,2,1,3,3,2,4,4,2,1,2,101,206,21,105,Curry,1,6,8,5,7,1,2
6,1,2,1,1,23,4,2,2,141,101,101,121,188,135,1,4,4,3,3,3,14,7,0.3333333333333333,9,4,3,3,3,3,3,3,2,4,2,2,3,3,2,2,121,106,15,105,Roti canai,1,2,1,4,3,4,2
6,1,1,1,2,28,4,3,1,121,101,111,151,115,135,7,3,1,6,4,2,7,14,0.6666666666666666,6,1,3,3,3,3,3,3,2,4,3,3,2,4,1,2,101,206,21,111,Nasi lemak,1,2,1,4,6,7,3
6,1,2,1,3,25,4,3,2,141,111,111,181,181,151,6,3,3,14,14,3,15,9,0.375,6,4,1,1,3,2,2,3,2,4,4,2,2,3,1,1,101,206,21,111,Laksa,1,3,6,3,1,3,2
6,1,1,1,1,45,4,3,3,141,101,111,151,121,181,4,13,1,4,4,14,3,18,0.8571428571428571,2,3,2,2,2,2,3,2,2,1,4,2,4,2,2,2,101,206,21,111,Roti canai,1,2,5,6,3,3,2
6,1,1,1,1,21,4,3,1,131,101,111,121,115,181,5,1,1,13,6,14,10,11,0.5238095238095238,6,1,3,2,3,3,2,2,4,1,4,4,4,2,4,4,101,206,21,121,Roti canai,4,2,8,5,1,3,2
6,1,2,1,1,26,4,3,2,121,101,111,188,115,151,1,1,1,1,1,6,15,2,0.11764705882352941,6,1,2,2,3,3,3,3,2,4,4,3,2,4,2,4,121,31,9,111,burger,4,3,8,5,1,3,2
6,1,2,1,1,15,2,3,2,141,101,101,181,181,181,3,9,11,14,14,14,16,2,0.1111111111111111,6,1,3,3,1,2,2,1,4,2,3,2,2,4,2,2,101,206,21,105,Roti canai,1,6,6,7,8,1,5
6,1,1,1,1,18,2,2,1,131,101,111,181,181,181,2,11,1,14,14,14,14,0,0.0,6,1,3,1,1,2,3,2,4,1,2,2,2,3,2,2,105,206,21,101,Roti canai,2,3,5,6,7,1,5
6,1,2,1,1,25,2,3,1,105,111,111,181,151,181,5,1,1,14,2,14,13,8,0.38095238095238093,6,1,1,1,1,1,1,1,2,3,2,3,2,4,2,2,105,8,6,140,Seafood,1,2,7,5,1,1,5
6,1,1,1,1,39,2,3,2,105,111,188,188,115,181,5,13,11,13,13,1,12,6,0.3333333333333333,2,1,1,1,1,3,2,1,2,3,2,4,4,4,1,1,101,206,21,111,Roti canai,1,4,4,5,7,1,2
6,1,2,1,1,34,3,4,1,105,111,188,181,181,151,2,9,1,13,13,3,21,0,0.0,1,1,2,2,2,2,2,1,2,2,1,2,2,4,2,2,111,16,8,105,Mee goreng,1,6,2,7,1,2,1
6,1,2,1,1,49,2,3,2,105,111,111,181,181,135,5,1,1,6,6,3,21,0,0.0,1,1,1,1,1,3,2,1,2,1,2,2,2,4,2,2,101,206,21,188,Nasi Lemak,1,2,7,6,3,1,2
6,1,2,1,1,17,2,3,2,101,101,101,181,181,181,3,9,11,14,6,14,8,10,0.5555555555555556,6,1,1,1,1,1,2,1,4,4,4,4,4,4,3,3,101,206,21,105,Laksa,1,4,5,7,8,1,1
6,1,2,1,1,21,2,3,2,101,188,188,115,115,135,3,9,11,6,4,3,21,1,0.04545454545454546,1,1,1,1,1,1,3,1,2,3,2,2,2,4,4,2,101,206,21,160,Fish,4,1,6,3,1,1,2
6,1,2,3,3,21,2,3,2,121,101,111,151,121,115,6,1,1,6,13,2,7,14,0.6666666666666666,6,3,1,1,1,1,1,1,3,3,3,4,3,4,3,3,101,206,21,111,Chicken Rice,1,4,7,1,6,1,1
6,1,1,1,1,17,2,2,3,101,111,111,141,115,151,1,1,1,1,1,3,14,2,0.125,6,4,1,1,1,1,3,1,3,2,2,2,2,4,2,2,101,206,21,105,Fish,4,1,3,8,6,1,3
6,1,2,2,3,25,2,2,2,101,188,111,141,115,135,3,9,1,3,3,3,21,3,0.125,6,1,1,1,3,3,2,1,3,2,1,3,2,2,2,3,140,206,21,188,Vegetable,4,3,6,1,8,1,2
7,1,1,1,1,21,3,2,1,101,181,111,181,181,181,5,14,2,14,14,14,14,0,0.0,6,1,1,1,1,2,2,1,4,1,2,3,4,4,2,3,105,20,12,101,Vegetable,1,4,1,7,5,1,2
7,1,2,3,3,26,2,3,2,101,111,111,181,188,181,3,1,1,14,1,14,21,7,0.25,1,1,1,1,1,1,2,1,1,1,2,2,2,4,2,4,101,206,21,188,Kampung Fried rice,1,2,1,3,8,1,2
7,1,1,3,3,23,2,3,1,121,111,111,181,181,181,13,1,1,14,14,14,21,0,0.0,6,4,1,1,1,1,3,1,2,1,2,2,2,4,2,2,101,206,21,111,Nasi Dagang,1,4,3,1,2,1,2
7,1,1,3,3,56,2,2,1,105,188,111,181,181,151,2,14,1,14,14,4,2,14,0.875,2,4,1,1,1,2,2,1,2,4,1,1,2,4,2,1,111,120,8,170,Nasi,1,2,1,5,8,1,2
7,1,2,1,2,31,4,3,2,101,111,111,181,181,151,2,13,1,14,14,4,7,14,0.6666666666666666,4,1,3,3,3,3,3,3,2,2,3,4,4,4,2,2,140,116,17,101,Fruits,1,6,3,5,8,3,2
7,1,2,1,3,35,3,3,2,101,111,111,181,181,181,4,4,1,14,14,14,21,0,0.0,1,4,2,3,3,3,3,3,2,2,1,1,2,4,1,1,111,114,8,140,Nasi kandar,1,6,1,3,5,4,1
7,1,1,1,3,36,2,2,1,101,181,111,181,181,181,5,14,1,14,14,14,9,5,0.35714285714285715,2,1,1,1,1,1,2,1,2,1,1,4,4,4,2,3,101,206,21,188,Murtabak,1,4,6,1,4,1,2
7,1,2,1,2,54,4,3,1,101,111,111,181,181,181,5,1,1,14,14,14,14,7,0.3333333333333333,1,3,1,2,2,2,1,2,4,3,3,3,2,4,2,2,170,7,5,101,Nasi Lemak,2,4,1,5,8,3,2
8,1,2,1,1,51,4,3,2,131,101,101,188,188,181,2,1,1,3,3,14,21,0,0.0,1,4,2,2,2,2,3,2,2,1,2,2,2,4,2,2,131,185,13,160,Fried Koay Teow,1,4,5,8,1,3,2
8,1,1,1,3,22,2,2,1,105,101,181,181,181,181,2,1,14,14,14,14,13,1,0.07142857142857142,1,3,1,1,1,2,2,1,3,2,2,2,3,4,2,2,105,200,18,140,Nasi lemak,1,5,7,8,3,1,2
8,1,2,1,3,63,2,2,1,131,111,181,181,181,181,6,1,14,14,14,14,13,1,0.07142857142857142,1,4,1,1,1,1,3,1,4,1,2,2,2,4,2,2,140,5,3,105,Konlo mee,1,4,7,8,3,1,1
9,1,2,1,1,18,2,3,3,101,101,101,121,115,115,3,1,1,1,1,2,20,1,0.04761904761904762,6,1,1,1,1,1,2,1,3,4,3,3,3,4,2,2,101,206,21,111,Roti canai,1,2,5,1,4,1,2
9,1,2,1,3,31,2,2,2,105,181,111,181,181,115,5,1,1,14,14,3,13,1,0.07142857142857142,1,3,1,1,1,1,2,1,3,1,2,2,2,4,3,3,140,116,17,101,Roti canai,1,2,4,6,3,1,2
9,1,2,3,3,26,2,3,2,101,111,188,181,188,181,1,2,3,14,1,14,20,1,0.04761904761904762,1,4,1,1,1,1,2,1,2,2,2,2,1,4,3,3,101,206,21,188,Roti canai,1,2,8,5,1,1,2
9,1,1,1,1,17,2,3,2,101,111,111,181,181,181,5,3,3,14,13,14,21,0,0.0,6,3,1,1,1,1,2,1,3,2,2,2,2,4,2,3,101,206,21,170,Curry Mee,1,6,1,2,3,1,2
9,1,2,1,1,24,3,3,1,101,111,111,181,181,181,3,3,3,14,14,14,15,6,0.2857142857142857,1,1,2,2,2,2,2,2,3,2,3,3,3,4,2,2,131,185,13,101,Pulut kuning,1,3,5,2,1,2,1
9,1,2,1,1,23,2,3,2,101,101,111,181,181,181,5,1,1,14,14,14,17,4,0.19047619047619047,6,1,1,1,1,1,1,1,3,2,3,3,3,3,4,3,131,23,13,101,Nasi lemak,1,4,4,2,6,1,2
9,1,2,1,1,50,2,3,1,105,101,111,181,181,181,4,1,1,14,14,14,18,3,0.14285714285714285,1,1,1,1,1,1,1,1,3,4,2,3,2,3,3,3,105,3,1,111,Roti canai,1,5,5,3,1,1,1
9,1,2,1,1,45,2,3,1,101,111,111,181,181,181,13,1,9,14,14,14,21,2,0.08695652173913043,1,1,1,1,1,2,2,1,3,1,2,2,2,4,2,2,105,3,1,121,Nasi lemak,1,2,5,1,4,1,2
10,1,1,3,3,30,2,3,2,101,111,111,181,181,135,5,9,1,14,14,4,14,7,0.3333333333333333,6,1,1,1,1,1,2,1,2,1,2,2,2,4,2,1,101,206,21,121,Roti canai,1,2,1,3,8,1,2
10,1,1,1,1,30,2,3,2,101,111,111,181,181,135,2,3,1,14,14,3,14,7,0.3333333333333333,2,1,1,1,1,1,1,1,4,3,2,3,3,4,3,3,170,117,5,105,mee goreng,1,2,6,7,8,1,2
10,1,2,1,3,42,2,3,2,105,111,111,181,181,115,2,11,1,14,14,2,21,0,0.0,1,1,1,1,1,3,2,1,3,1,1,2,3,4,3,3,188,105,10,105,nasi ayam,1,2,6,5,7,1,2
10,1,1,3,3,28,2,3,1,101,111,111,181,181,181,5,3,1,14,14,14,14,7,0.3333333333333333,2,1,1,1,1,3,2,1,4,4,2,4,4,4,2,2,101,206,21,105,Nasi Lemak,1,4,8,3,5,1,3
10,1,1,3,3,58,2,3,2,101,111,111,181,181,151,2,1,1,14,14,2,14,7,0.3333333333333333,2,1,1,1,1,3,3,1,4,1,1,3,3,4,3,2,111,114,8,101,Satay,1,4,1,8,4,1,2
10,1,2,3,3,50,2,3,1,131,111,111,181,181,181,3,11,1,14,14,14,21,0,0.0,1,1,1,1,1,3,3,1,4,1,1,2,2,4,3,2,101,206,21,105,Nasi Lemak,1,6,1,4,8,1,3
10,1,1,3,3,64,2,3,2,105,111,111,181,181,151,13,1,13,14,14,4,14,7,0.3333333333333333,2,1,1,1,1,1,3,1,4,1,1,2,2,4,2,2,170,20,12,105,Chicken Chop,1,4,1,6,4,1,1
11,1,2,1,1,40,4,3,2,121,111,111,181,181,115,2,9,1,14,14,9,14,7,0.3333333333333333,1,1,3,3,3,3,3,3,4,4,2,2,2,4,2,2,105,184,4,121,Satay,1,4,3,4,8,3,2
11,1,1,3,3,19,2,3,2,121,111,111,181,181,151,4,1,3,14,14,4,14,7,0.3333333333333333,6,1,1,1,1,1,2,1,2,4,1,2,2,4,4,4,140,116,17,101,Satay,1,4,5,1,4,1,1
11,1,1,3,3,19,2,3,2,105,111,111,181,181,135,4,11,3,14,14,6,14,7,0.3333333333333333,6,1,1,1,1,1,2,1,4,4,1,3,2,4,3,4,101,206,21,111,Fried Koay Teow,1,4,5,1,4,1,1
