State,Q1.Malaysian_Citizen,Q2.Gender,Q3.Living_Area,Q4.Grow_Up_Area,Exact_Age,Q6.Ethnic_Group,Q7.No_of_Meals_Per_Day,Q8.No_of_Meals_Between_Intakes,Q9.Norms_for_Breakfast,Q9.Norms_for_Lunch,Q9.Norms_for_Dinner,Q9.Norms_for_Supper,Q9.Norms_for_Snack,Q9.Norms_for_TeaTime,Q10.Beverage_for_Breakfast,Q10.Beverage_for_Lunch,Q10.Beverage_for_Dinner,Q10.Beverage_for_Supper,Q10.Beverage_for_Snack,Q10.Beverage_for_TeaTime,Q11.NO._of_Times_Eat_at_Home_Last_Week,Q11.Recode_NO._of_Times_Eat_at_Home_Last_Week,Q11.Eat_Out_Ratio,Q13.Who_Cooks,Q14.Food_Must_Be,Q15a.Halal,Q15b.Halal,Q15c.Halal,Q15d.Halal,Q15e.Halal,Q15f.Halal,Q16.a,Q16.b,Q16.c,Q16.d,Q16.e,Q16.f,Q16.g,Q16.h,Q17.1,Q17.1rec1,Q17.1rec2,Q17.2,Q17.2rec1,Q19.a,Q19.b,Q22.a,Q22.b,Q22.c,Q29a.Religion,Q30.Religion
9,1,1,2,2,18,2,4,2,188,111,111,181,115,115,3,1,1,14,3,3,18,3,0.14285714285714285,6,1,1,1,1,3,3,1,2,3,2,2,2,4,3,2,160,31,9,101,Nasi briyani,1,4,5,8,1,1,2
10,1,2,1,3,52,2,3,1,188,111,101,181,181,181,4,1,1,14,14,14,21,0,0.0,1,1,1,1,1,1,1,1,3,1,1,3,1,4,4,4,111,114,8,105,nasi lemak,1,5,4,2,1,1,2
11,1,2,1,1,44,2,3,2,188,111,111,181,181,131,3,1,2,14,14,1,14,7,0.3333333333333333,1,1,1,1,1,1,2,1,2,1,1,4,2,4,4,4,101,206,21,140,Fried Koay Teow,1,4,5,1,4,1,1
11,1,2,1,1,43,2,2,2,188,181,111,181,181,135,2,14,1,14,14,1,7,7,0.5,1,1,1,1,1,1,2,1,4,1,1,2,2,4,4,4,101,206,21,111,Roti canai,1,4,5,1,4,1,1
12,1,2,3,3,19,4,3,2,188,111,111,181,181,151,3,9,1,14,14,6,21,0,0.0,6,4,3,3,3,3,2,3,4,1,2,3,3,4,3,3,101,206,21,121,Roti canai,1,6,7,4,2,3,5
13,1,2,2,2,63,1,1,2,188,111,111,151,115,151,2,1,1,2,2,2,11,1,0.08333333333333333,9,1,2,2,3,3,2,2,4,1,2,2,1,4,2,2,170,116,17,121,Bah Kut Teh,1,4,4,1,5,4,2
14,1,2,3,2,25,2,3,1,188,111,111,181,181,181,1,1,1,14,14,14,20,1,0.04761904761904762,6,1,1,1,1,2,1,1,2,2,2,2,2,4,3,2,160,18,9,160,Vegetable,2,1,2,5,8,1,2
8,1,1,1,1,29,3,3,1,188,111,111,181,181,181,13,1,1,14,14,14,0,21,1.0,2,2,2,2,3,2,3,3,2,2,3,2,2,4,2,2,101,206,21,111,Chicken rice,1,2,3,4,8,2,3
9,1,2,1,1,50,4,2,2,188,111,188,181,115,151,2,1,1,14,2,2,13,22,0.6285714285714286,8,3,3,2,3,1,1,3,4,4,2,2,2,4,1,2,101,206,21,140,Roti canai,1,3,4,8,1,7,4
12,1,1,3,3,25,2,3,2,188,111,111,181,181,135,3,1,1,14,14,11,7,14,0.6666666666666666,6,1,1,1,1,3,2,1,4,1,3,3,2,4,2,2,101,206,21,105,Satay,1,4,1,5,7,1,2
12,1,2,1,1,26,2,3,2,188,111,111,181,181,151,3,11,3,14,14,4,14,7,0.3333333333333333,6,4,1,1,1,1,2,1,4,2,3,3,3,4,3,3,111,114,8,121,Curry fish,1,2,1,5,3,1,1
12,1,2,1,1,54,4,3,2,188,111,111,181,181,115,3,1,3,14,14,2,21,0,0.0,1,4,3,3,3,3,3,1,3,1,1,2,2,4,3,2,105,184,4,105,Roti canai,1,2,1,3,6,1,5
13,1,2,2,2,34,2,2,3,188,111,111,115,115,188,3,4,1,14,13,9,10,5,0.3333333333333333,7,1,1,1,1,3,2,1,3,4,2,2,2,3,3,2,170,116,17,188,Mee Kolo,1,4,5,6,9,1,2
13,1,1,1,2,28,2,3,2,188,111,111,121,188,115,3,1,1,9,13,2,21,0,0.0,6,1,1,1,1,2,2,1,4,4,3,3,3,3,2,2,101,121,2,121,Nasi Lemak,1,2,7,1,5,1,2
13,1,2,2,2,41,2,3,2,188,111,111,115,115,188,3,4,1,14,13,9,10,5,0.3333333333333333,7,4,1,1,1,3,2,1,3,4,2,3,2,3,3,2,121,116,17,140,Tom Yam Soup,1,4,5,6,9,1,2
14,1,1,1,1,51,2,2,1,188,111,181,181,181,181,2,1,14,14,14,14,13,1,0.07142857142857142,2,1,1,1,1,1,2,1,2,2,2,2,2,4,2,3,160,18,9,168,Bah Kut Teh,2,4,5,8,2,1,2
14,1,1,1,1,21,2,3,2,188,111,111,181,181,181,2,3,3,14,14,14,21,0,0.0,6,1,1,1,1,1,1,1,2,2,2,2,2,4,3,2,105,3,1,160,Teh Tarik,2,3,7,4,8,1,2
14,1,2,1,1,49,4,2,2,188,111,111,181,181,181,2,1,1,14,14,14,11,3,0.21428571428571427,1,1,2,2,1,1,1,2,3,1,2,2,2,4,2,2,121,106,15,170,Vegetable,1,4,1,5,7,3,2
3,1,2,1,1,45,2,2,1,188,111,111,141,151,151,2,2,3,3,14,14,12,2,0.14285714285714285,8,1,1,1,1,2,2,1,3,3,3,4,4,2,2,2,170,119,5,188,Pickled fish,1,2,2,3,4,1,1
3,1,2,1,1,54,2,3,2,188,101,111,121,115,151,3,3,4,3,3,3,25,7,0.21875,1,1,1,1,1,2,2,1,3,1,3,3,3,2,2,2,105,8,6,188,Kurma curry,4,1,1,3,5,1,2
6,1,2,1,1,27,2,4,2,188,101,101,188,115,121,3,1,1,9,9,4,10,9,0.47368421052631576,6,1,1,1,1,1,2,1,2,2,2,2,2,4,2,2,121,106,15,101,Fried rice,1,4,1,5,4,1,2
8,1,2,1,1,25,2,3,1,188,111,188,181,181,181,3,1,6,14,14,14,19,2,0.09523809523809523,9,1,1,1,1,1,3,1,4,3,3,2,2,4,1,4,111,114,8,101,Nasi Lemak,1,4,6,1,5,1,2
9,1,2,1,1,23,2,2,2,188,101,181,181,115,115,3,3,14,14,3,1,9,5,0.35714285714285715,1,2,1,1,1,1,2,1,2,1,2,2,3,4,2,2,101,206,21,140,Roti canai,1,2,5,7,3,1,1
9,1,1,1,3,22,2,3,2,188,111,111,181,181,115,5,1,1,14,14,1,21,0,0.0,2,2,1,1,1,1,2,1,3,1,3,3,3,3,2,2,105,20,12,121,Tafu,1,3,8,1,5,1,2
9,1,2,3,3,41,2,4,2,188,111,111,181,121,181,2,1,1,13,13,14,17,4,0.19047619047619047,1,1,1,1,1,1,2,1,4,2,1,2,2,4,1,2,105,184,4,101,Fried Noodles,4,2,1,4,6,1,2
11,1,2,1,1,25,2,3,1,188,111,111,181,181,181,4,1,3,14,14,1,14,7,0.3333333333333333,6,1,1,1,1,1,2,1,4,4,1,2,2,4,4,4,101,206,21,140,Nasi Lemak,1,4,5,1,4,1,1
12,1,2,1,1,59,2,2,2,188,111,111,181,181,151,2,1,1,14,14,2,21,0,0.0,1,4,1,1,1,1,2,1,4,1,2,2,2,4,3,3,101,206,21,105,Roti canai,1,6,1,6,3,1,1
12,1,2,3,3,34,4,3,2,188,111,111,181,181,115,3,9,2,14,14,2,21,0,0.0,1,4,3,3,3,3,2,3,4,2,1,2,3,4,3,3,121,8,6,105,Asam spicy,1,2,1,6,4,3,5
13,1,2,2,3,51,2,3,2,188,111,101,115,188,115,9,3,1,1,3,3,21,2,0.08695652173913043,1,4,1,1,1,1,2,1,3,3,2,3,2,4,1,2,105,106,15,101,Satay,1,2,2,1,3,1,1
14,1,2,1,1,46,2,2,1,188,111,181,181,181,181,2,3,3,14,14,14,10,4,0.2857142857142857,1,2,1,1,1,1,1,1,3,2,2,2,2,4,3,3,168,4,2,160,Mee,3,2,4,3,6,1,1
14,1,1,1,1,51,2,2,2,188,111,111,181,181,181,3,2,2,14,14,14,14,3,0.17647058823529413,2,1,1,1,1,1,1,1,3,2,3,3,3,4,2,2,101,206,21,111,Fish,1,4,1,4,5,1,2
14,1,1,1,1,63,2,2,2,188,111,111,181,181,181,1,1,1,14,14,14,7,12,0.631578947368421,8,2,1,1,1,1,1,1,2,2,3,3,3,3,3,2,168,121,2,105,Fish,3,1,3,5,8,1,2
14,1,2,1,1,58,2,2,1,188,111,111,181,181,181,1,14,1,14,14,14,14,0,0.0,1,2,1,1,1,1,2,1,2,1,1,1,2,4,2,3,160,31,9,168,Roti canai,1,3,7,3,8,1,2
14,1,2,1,1,30,1,3,1,188,111,111,181,181,181,2,1,1,14,14,14,21,0,0.0,1,2,2,3,2,3,2,3,2,1,2,2,2,4,3,2,105,3,1,160,Chicken Rice,4,1,7,5,8,4,2
4,1,2,1,1,33,4,2,2,188,188,111,181,181,181,14,3,9,14,14,14,0,14,1.0,9,3,2,2,1,2,1,2,2,3,3,2,3,1,2,3,105,204,20,188,Vegetable,2,1,5,1,8,4,3
8,1,1,1,1,64,2,3,1,188,101,101,181,181,181,3,1,1,14,14,14,21,0,0.0,2,2,1,1,1,1,2,1,2,1,2,2,2,4,2,2,160,182,11,131,Nasi Lemak,4,3,5,1,4,1,1
8,1,1,1,1,58,4,4,2,188,101,111,188,115,135,3,9,13,6,13,6,16,12,0.42857142857142855,2,1,2,2,2,3,3,2,3,3,2,3,3,3,2,2,188,14,10,121,Nasi Minyak,2,1,6,3,5,3,1
3,1,2,1,1,19,2,2,1,188,111,111,141,151,151,3,3,3,14,14,14,7,14,0.6666666666666666,1,1,1,1,1,2,2,1,3,3,3,3,4,4,3,4,131,23,13,188,Curry puff,1,2,2,3,5,1,1
3,1,2,1,1,18,2,2,1,188,111,111,141,151,151,2,2,3,2,2,3,12,7,0.3684210526315789,1,1,1,1,1,2,1,1,3,3,3,3,2,2,3,3,101,206,21,121,Lemang,1,2,2,3,4,1,1
6,1,2,1,1,44,4,3,2,188,101,111,181,181,181,13,1,1,14,14,14,18,3,0.14285714285714285,1,3,2,2,3,3,3,2,2,4,3,3,3,4,3,3,101,206,21,170,Asam spicy,1,2,1,2,5,4,2
6,1,2,1,3,45,4,2,3,188,101,111,181,181,151,2,13,1,14,14,4,15,5,0.25,9,1,1,3,2,3,3,2,1,1,2,4,2,4,1,1,168,104,2,101,Fried Mee,4,2,1,5,3,5,3
6,1,2,1,2,32,4,3,1,188,101,101,181,181,181,13,13,13,14,14,14,7,14,0.6666666666666666,1,1,2,2,2,2,2,2,1,3,3,3,2,3,1,1,101,206,21,121,Satay,1,6,5,3,2,5,2
8,1,2,1,1,16,4,4,1,188,101,111,141,115,181,5,13,1,6,13,14,12,16,0.5714285714285714,6,1,2,2,3,3,3,3,3,3,2,3,2,4,2,2,105,201,19,140,Tomyam mee,1,2,6,5,8,3,2
12,1,2,1,3,18,2,3,1,188,111,111,181,181,181,4,3,3,14,14,14,14,7,0.3333333333333333,6,1,1,1,1,1,2,1,2,1,1,2,1,4,2,4,105,205,20,111,Curry Chicken,1,4,5,2,6,1,1
12,1,2,3,3,25,2,3,2,188,111,111,181,181,181,5,1,1,14,14,14,7,14,0.6666666666666666,6,1,1,1,1,3,2,1,2,4,2,2,2,4,2,2,101,206,21,105,Nasi lemak,1,2,1,2,3,1,2
12,1,2,3,3,32,2,3,1,188,111,111,181,181,181,3,1,1,14,14,14,21,0,0.0,1,4,1,1,1,1,2,1,4,2,3,3,3,4,3,3,105,202,20,105,Bah Kut Teh,1,6,1,6,3,1,1
12,1,2,3,3,52,2,3,1,188,111,111,181,181,181,3,1,2,14,14,14,21,0,0.0,1,1,1,1,1,1,2,1,3,2,2,2,2,4,3,3,105,200,18,105,Curry rice,2,1,1,7,4,1,1
12,1,1,3,3,35,2,3,2,188,111,111,181,181,181,5,11,3,14,14,14,21,0,0.0,2,1,1,1,1,1,2,1,4,2,2,2,2,4,2,2,101,206,21,105,Roti canai,1,6,3,6,8,1,2
14,1,2,1,1,31,1,2,2,188,181,111,181,181,181,2,1,1,14,14,14,14,0,0.0,1,1,3,2,2,3,2,2,2,2,2,2,2,4,2,2,168,121,2,160,Curry Chicken,4,1,3,8,5,4,2
14,1,2,1,2,43,1,2,1,188,111,111,181,181,181,2,1,1,14,14,3,14,0,0.0,3,1,2,3,2,2,3,2,3,4,2,2,2,4,2,2,168,121,2,160,Ulam,1,2,1,3,6,4,3
14,1,2,2,3,33,2,3,2,188,111,111,181,181,181,3,1,3,14,14,14,7,6,0.46153846153846156,9,1,1,1,1,1,2,1,1,1,2,2,2,4,2,3,160,18,9,160,Lontong,3,2,4,7,8,1,2
14,1,1,1,3,43,1,3,1,188,111,111,181,181,181,2,1,1,14,14,14,9,2,0.18181818181818182,1,1,2,2,1,1,1,2,4,4,2,2,2,4,2,2,160,18,9,168,Satay,4,1,3,5,8,4,3
14,1,1,2,2,55,2,2,2,188,111,111,181,181,181,2,1,1,14,14,14,15,6,0.2857142857142857,2,2,1,1,1,1,1,1,2,3,2,2,2,4,2,3,168,121,2,160,Fish,3,1,8,5,4,1,1
14,1,1,1,1,33,4,3,2,188,111,111,181,181,181,2,1,1,14,14,14,15,6,0.2857142857142857,1,1,2,3,3,3,1,2,2,2,2,2,2,4,2,2,160,31,9,168,Noodles,1,3,1,4,3,3,3
2,1,1,2,2,19,2,2,1,188,101,188,188,121,151,7,11,11,13,13,13,3,9,0.75,8,1,1,1,1,2,1,1,3,3,3,3,4,3,2,2,101,206,21,105,Nasi minyak,2,4,4,5,6,1,1
2,1,2,1,3,57,2,3,2,188,111,111,181,181,135,1,1,11,14,14,2,20,1,0.04761904761904762,1,1,1,1,1,1,1,1,2,1,2,2,2,4,2,2,105,3,1,188,Sambal,1,6,7,8,1,1,2
